price,living_area,number_of_rooms,new_production,monthly_fee,build_year,elevator,city_area
2.955,51,2.0,0.0,3119.0,1968.0,1.0,1
1.72,63,2.0,0.0,3887.0,1962.0,1.0,1
1.97,62,2.0,0.0,4477.0,1993.0,1.0,1
4.95,96,4.0,0.0,5938.0,2007.0,1.0,1
4.920000000000001,68,3.0,0.0,2816.0,2012.0,1.0,1
0.6200000000000001,30,1.0,0.0,2939.0,1943.0,1.0,0
2.45,79,3.0,0.0,4820.0,,1.0,1
1.01,80,3.0,0.0,3434.0,1970.0,0.0,0
0.86,43,2.0,0.0,5113.0,1994.0,1.0,0
1.475,75,3.0,0.0,3464.0,1953.0,0.0,0
3.75,42,2.0,0.0,2486.0,1946.0,0.0,1
1.975,29,1.0,0.0,1680.0,1958.0,0.0,1
4.185,46,2.0,0.0,1253.0,1912.0,0.0,1
2.5,27,1.0,0.0,2063.0,1953.0,1.0,1
0.455,73,3.0,0.0,3232.0,1965.0,0.0,0
1.9299999999999997,66,3.0,0.0,3485.0,1998.0,1.0,1
1.695,35,2.0,0.0,2553.0,1973.0,1.0,1
2.9299999999999997,101,4.0,0.0,4894.0,1962.0,0.0,1
0.54,53,1.0,0.0,3235.0,1968.0,0.0,0
0.86,51,2.0,0.0,3390.0,1993.0,0.0,1
0.23,35,1.0,0.0,1618.0,1961.0,0.0,0
1.2,49,2.0,1.0,2551.0,,1.0,0
0.975,49,2.0,0.0,3957.0,1976.0,1.0,0
1.995,68,2.0,1.0,3834.0,2015.0,1.0,0
1.75,23,1.0,0.0,1560.0,1955.0,0.0,1
1.805,44,2.0,1.0,2463.0,,1.0,0
1.365,44,1.0,0.0,3190.0,2014.0,0.0,0
1.415,83,3.0,0.0,3308.0,1970.0,1.0,0
3.75,68,2.0,0.0,4126.0,2014.0,1.0,1
2.8,88,3.0,0.0,3430.0,1962.0,1.0,1
0.5900000000000001,48,2.0,0.0,3524.0,1953.0,0.0,0
2.255,82,3.0,0.0,4174.0,1970.0,0.0,0
2.75,89,4.0,0.0,5362.0,2009.0,1.0,1
1.9,50,2.0,0.0,3338.0,1957.0,0.0,1
4.95,51,2.0,0.0,2415.0,1909.0,0.0,1
1.845,57,2.0,0.0,2966.0,1955.0,1.0,1
3.65,69,3.0,0.0,3624.0,1950.0,0.0,1
5.395,65,3.0,0.0,2496.0,1876.0,0.0,1
2.48,66,3.0,0.0,4916.0,1993.0,0.0,1
0.305,76,3.0,0.0,4933.0,1990.0,,1
1.295,53,2.0,0.0,5292.0,1995.0,0.0,1
1.4,65,2.0,0.0,4588.0,1990.0,1.0,1
1.29,77,3.0,0.0,4019.0,1969.0,1.0,1
0.345,51,2.0,0.0,2674.0,1959.0,0.0,1
2.3,23,1.0,0.0,1855.0,1943.0,1.0,1
1.95,30,1.0,0.0,1550.0,1953.0,1.0,1
0.945,53,2.0,0.0,3947.0,1995.0,0.0,1
1.7650000000000001,136,4.0,0.0,6257.0,1984.0,0.0,0
1.6,59,2.0,0.0,3018.0,1962.0,1.0,1
0.725,71,3.0,0.0,3563.0,1952.0,0.0,0
1.64,52,2.0,1.0,2906.0,,1.0,1
1.55,82,3.0,0.0,4296.0,1968.0,1.0,1
1.9,42,1.0,0.0,2157.0,1973.0,1.0,1
1.65,97,4.0,0.0,3466.0,2015.0,0.0,0
3.9,96,4.0,0.0,3874.0,1956.0,,1
3.15,50,2.0,0.0,2803.0,1945.0,0.0,1
